Name,Team,Positon,Age,Apps,HeightCM,WeightKG,Goals,Assists,Passes,Wins,Losses,Yellowcards,Redcards,Fouls,Wins_ratio,Yellowcardsd_ratio,Fouls_ratio,Passes_ratio,Ycards_ratio_dicretized,Fouls_ratio_dicretized,Goals_ratio
Eric Dier,Tottenham Hotspur,Midfielder,27,200,188.0,88.0,10,8,11169,112,44,36,0,178,0.56,0.18,0.89,55.845,High,High,0.05
Moussa Sissoko,Tottenham Hotspur,Midfielder,31,258,187.0,83.0,14,24,9194,120,90,39,2,296,0.46511627906976744,0.1511627906976744,1.1472868217054264,35.63565891472868,High,High,0.05426356589147287
Dele Alli,Tottenham Hotspur,Midfielder,25,168,188.0,76.0,50,34,5712,94,39,24,0,184,0.5595238095238095,0.14285714285714285,1.0952380952380953,34.0,High,High,0.2976190476190476
Tanguy Ndombele,Tottenham Hotspur,Midfielder,24,52,181.0,76.0,5,4,1786,18,19,6,0,40,0.34615384615384615,0.11538461538461539,0.7692307692307693,34.34615384615385,Medium,Medium,0.09615384615384616
Pierre-Emile HÃ¸jbjerg,Tottenham Hotspur,Midfielder,25,144,185.0,84.0,5,7,8254,49,59,28,2,209,0.3402777777777778,0.19444444444444445,1.4513888888888888,57.31944444444444,High,High,0.034722222222222224
Alfie Devine,Tottenham Hotspur,Midfielder,16,0,179.0,75.0,0,0,0,0,0,0,0,0,,,,,,,
Giovani Lo Celso,Tottenham Hotspur,Midfielder,25,45,177.0,68.0,1,3,1477,19,12,11,0,47,0.4222222222222222,0.24444444444444444,1.0444444444444445,32.82222222222222,High,High,0.022222222222222223
Jamie Bowden,Tottenham Hotspur,Midfielder,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Nile John,Tottenham Hotspur,Midfielder,18,0,184.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Lucas Moura,Tottenham Hotspur,Forward,28,102,172.0,72.0,17,9,2165,51,35,7,0,82,0.5,0.06862745098039216,0.803921568627451,21.225490196078432,Medium,Medium,0.16666666666666666
Son Heung-Min,Tottenham Hotspur,Forward,28,194,183.0,78.0,70,39,4628,109,46,4,2,77,0.5618556701030928,0.020618556701030927,0.39690721649484534,23.855670103092784,Low,Low,0.36082474226804123
Harry Kane,Tottenham Hotspur,Forward,27,242,188.0,86.0,164,33,5225,134,56,27,0,233,0.5537190082644629,0.1115702479338843,0.9628099173553719,21.59090909090909,Medium,High,0.6776859504132231
Steven Bergwijn,Tottenham Hotspur,Forward,23,33,178.0,78.0,3,4,618,16,8,4,0,26,0.48484848484848486,0.12121212121212122,0.7878787878787878,18.727272727272727,Medium,Medium,0.09090909090909091
Gareth Bale,Tottenham Hotspur,Forward,31,163,185.0,81.0,51,22,4972,69,49,16,1,94,0.4233128834355828,0.09815950920245399,0.5766871165644172,30.503067484662576,Medium,Medium,0.3128834355828221
Carlos VinÃ­cius,Tottenham Hotspur,Forward,26,9,190.0,86.0,1,0,46,5,2,2,0,11,0.5555555555555556,0.2222222222222222,1.2222222222222223,5.111111111111111,High,High,0.1111111111111111
Dane Scarlett,Tottenham Hotspur,Forward,17,1,180.0,76.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,Low,Low,0.0
Dilan Markanday,Tottenham Hotspur,Forward,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Sam Johnstone,West Bromwich Albion,Goalkeeper,28,34,193.0,85.0,0,1,1012,4,19,0,0,0,0.11764705882352941,0.0,0.0,29.764705882352942,Low,Low,0.0
David Button,West Bromwich Albion,Goalkeeper,32,5,191.0,87.0,0,0,135,2,2,0,0,0,0.4,0.0,0.0,27.0,Low,Low,0.0
Andy Lonergan,West Bromwich Albion,Goalkeeper,37,0,192.0,87.0,0,0,0,0,0,0,0,0,,,,,,,
Darnell Furlong,West Bromwich Albion,Defender,25,35,183.0,76.0,1,3,832,5,19,6,0,32,0.14285714285714285,0.17142857142857143,0.9142857142857143,23.771428571428572,High,High,0.02857142857142857
Kieran Gibbs,West Bromwich Albion,Defender,31,180,181.0,73.0,2,9,6208,89,44,18,2,116,0.49444444444444446,0.1,0.6444444444444445,34.48888888888889,Medium,Medium,0.011111111111111112
Kyle Bartley,West Bromwich Albion,Defender,29,48,185.0,70.0,3,1,1479,11,24,10,0,50,0.22916666666666666,0.20833333333333334,1.0416666666666667,30.8125,High,High,0.0625
Semi Ajayi,West Bromwich Albion,Defender,27,30,193.0,83.0,2,0,888,4,17,3,1,28,0.13333333333333333,0.1,0.9333333333333333,29.6,Medium,High,0.06666666666666667
